date,close,high,low,open,volume,ma_50,ma_200,daily_return,monthly_return,yearly_return,volatility_21d
2020-04-08,6.649252891540527,6.674161220187996,6.491085550978989,6.561077721685815,542444000,,,,,,
2020-04-09,6.549619197845459,6.797954190138217,6.486601310368204,6.775038853830193,525564000,,,-1.4984193761351294,,,
2020-04-13,6.721485614776611,6.7302034567472955,6.401414916462178,6.489839013642981,398408000,,,2.624067319634227,,,
2020-04-14,7.07269287109375,7.106816933648339,6.822115918006232,6.8497640718262005,530948000,,,5.225143315713421,,,
2020-04-15,6.995227336883545,7.078171789754281,6.859228516671217,6.904561298379728,366148000,,,-1.0952763766515106,,,
2020-04-16,7.340456008911133,7.447561485582483,7.137454254378709,7.150655492292634,745620000,,,4.9352030377527445,,,
2020-04-17,7.2811737060546875,7.44407335910978,7.147167405269901,7.422652171604382,539120000,,,-0.8076106277931205,,,
2020-04-20,7.149906635284424,7.3105648155660194,7.105570116064811,7.154639449322397,449388000,,,-1.8028284459290944,,,
2020-04-21,6.713016986846924,7.09311633723642,6.653237293047611,7.031842495530036,735160000,,,-6.1104245233283505,,,
2020-04-22,7.127490043640137,7.170332420198244,6.859726852955732,6.905308579945586,483356000,,,6.174169640942462,,,
2020-04-23,7.074185848236084,7.301598004382565,7.049028578889608,7.169584695451171,424160000,,,-0.7478676936436557,,,
2020-04-24,7.213175296783447,7.215167811050507,6.989250234297876,7.06397522035486,352328000,,,1.9647412653432061,,,
2020-04-27,7.399738311767578,7.559649225821632,7.323020809287246,7.3476801931543365,479388000,,,2.5864200897394607,,,
2020-04-28,7.257261753082275,7.577083522460443,7.251782102156666,7.5471934376689775,442904000,,,-1.9254269905562338,,,
2020-04-29,7.434110641479492,7.486916063529084,7.3167927086062665,7.392015576110446,379160000,,,2.436854207747241,,,
2020-04-30,7.280178070068359,7.434110948500849,7.266229521224873,7.380059846645527,375916000,,,-2.070625241333479,,,
2020-05-01,7.043549537658691,7.1959877898838185,6.995227508667212,7.0826553577426115,342096000,,,-3.250312425496016,,,
2020-05-04,7.255517959594727,7.269217561570689,6.9962232042594215,6.9962232042594215,317556000,,,3.00939775893867,,,
2020-05-05,7.316544055938721,7.479194777190455,7.255518679739671,7.359635380039009,368896000,,,0.8410991011784663,,,
2020-05-06,7.417421340942383,7.522285342216522,7.358140014415435,7.396000628885586,323464000,,,1.3787559294716756,,,
